timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,SMA,SUM,Upper Rail,Lower Rail
8/14/2018,37.77,38.52,37.38,38.39,38.39,829783,0,1,36.838,368.38,37.94314,35.73286
8/13/2018,37.64,37.77,37.26,37.5,37.5,637050,0,1,36.537,365.37,37.63311,35.44089
8/10/2018,37.34,37.81,37.07,37.54,37.54,772720,0,1,36.303,363.03,37.39209,35.21391
8/9/2018,37.2,37.92,36.93,37.68,37.68,952045,0,1,36.067,360.67,37.14901,34.98499
8/8/2018,36.94,37.16,35.7756,36.85,36.85,1668257,0,1,35.973,359.73,37.05219,34.89381
8/7/2018,36.42,36.6,35.575,36,36,817150,0,1,35.953,359.53,37.03159,34.87441
8/6/2018,35.98,36.49,35.7601,36.3,36.3,534765,0,1,35.906,359.06,36.98318,34.82882
8/3/2018,36.46,36.67,35.39,35.91,35.91,332563,0,1,35.868,358.68,36.94404,34.79196
8/2/2018,35.53,36.51,35.4,36.48,36.48,469886,0,1,35.89,358.9,36.9667,34.8133
8/1/2018,36.7,37.189,35.13,35.73,35.73,940218,0,1,35.894,358.94,36.97082,34.81718
7/31/2018,35.25,35.88,35.25,35.38,35.38,454208,0,1,35.88,358.8,36.9564,34.8036
7/30/2018,35.14,35.42,34.78,35.16,35.16,346667,0,1,,,,
7/27/2018,36.8,37.02,35.17,35.18,35.18,697126,0,1,,,,
7/26/2018,36.61,37.2,36.525,36.74,36.74,480350,0,1,,,,
7/25/2018,35.41,36.66,35.35,36.65,36.65,567227,0,1,,,,
7/24/2018,36.02,36.14,35.1,35.53,35.53,778750,0,1,,,,
7/23/2018,35.96,36.33,35.72,35.92,35.92,443436,0,1,,,,
7/20/2018,36.6,36.77,36.02,36.13,36.13,368891,0,1,,,,
7/19/2018,35.56,36.58,35.49,36.52,36.52,446467,0,1,,,,
7/18/2018,35.17,35.63,35.13,35.59,35.59,465597,0,1,,,,
7/17/2018,34.8,35.62,34.41,35.27,35.27,606650,0,1,,,,
7/16/2018,33.79,34.04,33.56,33.99,33.99,472756,0,1,,,,
7/13/2018,33.38,33.89,33.38,33.7,33.7,447998,0,1,,,,
7/12/2018,33.56,33.805,33.15,33.47,33.47,272363,0,1,,,,
7/11/2018,33.74,33.85,33.2,33.49,33.49,514956,0,1,,,,
7/10/2018,33.93,34.125,33.68,33.98,33.98,476291,0,1,,,,
7/9/2018,34.27,34.46,33.76,33.95,33.95,495089,0,1,,,,
7/6/2018,34.51,34.61,33.98,34.1,34.1,458457,0,1,,,,
7/5/2018,34.83,34.83,34.21,34.52,34.52,834796,0,1,,,,
7/3/2018,34.62,35.11,34.56,34.61,34.61,245210,0,1,,,,
7/2/2018,34.5,34.89,34.17,34.58,34.58,556464,0,1,,,,
6/29/2018,35.74,35.91,34.77,34.77,34.77,593017,0.08,1,,,,
6/28/2018,35.09,35.38,35.01,35.37,35.2888,445242,0,1,,,,
6/27/2018,35.7,35.925,35.17,35.19,35.1092,769310,0,1,,,,
6/26/2018,34.95,35.86,34.95,35.68,35.5981,466945,0,1,,,,
6/25/2018,35.58,35.74,34.88,34.93,34.8498,600808,0,1,,,,
6/22/2018,36.77,36.77,35.685,35.71,35.628,884637,0,1,,,,
6/21/2018,36.57,36.74,36.24,36.27,36.1867,471921,0,1,,,,
6/20/2018,36.86,36.87,35.7004,36.66,36.5758,661990,0,1,,,,
6/19/2018,36.4,36.9,36.2,36.75,36.6656,588428,0,1,,,,
6/18/2018,36.26,36.88,36.15,36.73,36.6457,692748,0,1,,,,
6/15/2018,36.21,36.69,36.08,36.5,36.4162,1027148,0,1,,,,
6/14/2018,36.17,36.35,35.93,36.25,36.1668,878150,0,1,,,,
6/13/2018,36.05,36.29,35.79,36.22,36.1369,856298,0,1,,,,
6/12/2018,35.65,36.1,35.39,36.09,36.0072,927533,0,1,,,,
6/11/2018,35.45,35.7,35.38,35.62,35.5382,678770,0,1,,,,
6/8/2018,35.19,35.45,35.14,35.39,35.3088,621875,0,1,,,,
6/7/2018,35.4,35.74,35.18,35.24,35.1591,410121,0,1,,,,
6/6/2018,35.58,35.66,35.16,35.33,35.2489,505071,0,1,,,,
6/5/2018,34.76,35.49,34.415,35.41,35.3287,566893,0,1,,,,
6/4/2018,34.27,34.74,34.16,34.7,34.6203,624180,0,1,,,,
6/1/2018,33.79,34.35,33.58,34.13,34.0517,674606,0,1,,,,
